age_group,fdt_mean,hpt9_mean,seb_mean,lj_mean,mwt6_mean,vj_mean,tst_mean,csrt_mean,sts_mean,botb_mean,fdt_sd,hpt9_sd,seb_sd,lj_sd,mwt6_sd,vj_sd,tst_sd,csrt_sd,sts_sd,botb_sd
3,49,50,16,41,389,10,23,1,19,11,13,18,33,19,63,3,7,0,4,6
4,39,35,11,73,470,16,16,1,19,16,7,5,23,18,70,4,4,0,4,5
5,33,27,91,104,546,18,11,1,23,25,5,5,14,13,110,3,2,0,4,6
6,31,25,112,102,572,20,9,1,25,29,3,3,8,14,83,5,1,0,5,6
7,29,22,99,104,610,21,8,1,27,33,4,3,12,13,77,1,1,0,7,3
8,31,22,94,106,641,21,8,1,25,31,6,2,11,23,37,4,1,0,6,4
9,25,19,106,117,662,25,8,1,24,32,4,2,8,19,78,3,2,0,6,2
10,28,20,102,132,657,27,7,1,27,33,6,3,12,10,51,4,1,0,6,2
11,24,19,104,141,622,32,7,1,28,34,2,4,12,21,83,4,2,0,7,2
12,24,19,89,120,670,26,7,1,24,34,4,2,11,22,85,4,1,0,6,2
13,24,17,99,134,706,28,6,1,23,34,5,1,14,24,124,3,2,0,3,2
14,21,19,89,123,725,28,7,1,21,34,2,2,10,16,34,3,1,0,3,2
15,22,18,92,126,678,30,7,1,21,34,5,3,10,29,68,5,1,0,6,2
16,21,17,95,145,715,31,6,1,23,34,4,2,13,21,70,5,1,0,6,2
17,20,16,91,148,765,31,7,1,27,32,4,1,7,23,72,4,1,0,6,1
18,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
19,22,17,99,137,681,33,6,1,27,35,6,2,11,19,50,3,1,0,4,1
20,20,16,96,131,685,33,7,1,24,34,4,1,11,28,68,4,1,0,6,4
21,20,17,95,133,677,31,7,1,24,34,4,2,10,25,76,5,1,0,7,2
31,20,17,91,128,670,28,7,1,23,34,3,2,9,28,84,5,2,0,5,2
41,20,16,90,121,689,27,7,1,23,32,5,2,12,31,80,5,1,0,6,2
51,22,18,87,106,659,23,8,1,21,31,4,2,10,23,64,4,2,0,6,3
61,23,19,79,73,603,18,11,1,18,27,5,3,14,30,87,5,3,0,4,5
71,28,22,66,52,553,13,13,1,15,22,7,4,17,31,84,6,3,0,5,5
81,26,21,54,24,443,9,18,1,14,16,8,3,19,29,106,7,8,0,5,7
91,43,32,0,0,202,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
