age_group,fdt_mean,hpt9_mean,seb_mean,lj_mean,mwt6_mean,vj_mean,tst_mean,csrt_mean,sts_mean,botb_mean,fdt_sd,hpt9_sd,seb_sd,lj_sd,mwt6_sd,vj_sd,tst_sd,csrt_sd,sts_sd,botb_sd
3,49,43,8,58,397,14,22,1,14,9,9,9,25,25,51,3,8,0.4,3,6
4,41,34,38,82,444,16,15,1,19,17,9,7,49,26,78,4,5,0.09,4,7
5,33,30,43,87,513,18,11,1,21,22,9,6,51,15,77,6,2,0.26,4,7
6,33,26,101,108,558,23,9,1,26,28,9,9,19,20,73,4,2,0.13,6,5
7,32,24,97,117,617,23,8,1,24,30,6,3,17,19,66,3,1,0.07,6,5
8,28,22,107,116,653,24,8,1,27,32,5,3,12,18,72,5,2,0.16,6,4
9,29,22,105,128,668,26,7,1,27,30,8,3,12,16,64,5,1,0.09,7,3
10,25,20,101,122,661,25,7,1,24,30,4,2,12,24,95,4,1,0.15,6,5
11,26,20,114,145,732,29,6,1,27,32,3,2,17,17,54,5,1,0.14,5,2
12,26,20,100,144,708,31,7,1,24,33,6,3,18,32,44,8,1,0.11,4,2
13,23,20,105,145,676,31,6,1,26,31,4,4,13,30,108,6,1,0.09,6,4
14,21,18,108,191,823,39,6,1,27,33,4,2,14,17,128,8,1,0.1,6,2
15,22,19,95,158,787,37,6,1,25,33,5,1,17,15,88,6,1,0.06,5,3
16,24,19,84,173,762,40,6,1,24,32,5,2,7,36,139,7,1,0.12,7,3
17,22,18,95,174,758,41,5,1,27,33,3,2,11,23,58,6,1,0.13,7,2
18,22,18,97,190,770,45,5,1,24,34,4,2,10,23,94,7,1,0.07,5,2
19,22,18,99,214,798,49,5,0,28,32,3,1,15,27,110,5,1,0.05,7,2
20,17,18,99,194,754,49,5,1,23,31,2,4,20,29,42,12,1,0.15,9,3
21,21,18,101,199,799,48,5,1,30,34,4,3,11,28,73,7,1,0.09,6,3
31,21,18,98,175,718,39,6,1,24,33,5,2,12,34,70,8,1,0.08,7,2
41,20,18,96,164,768,35,6,1,24,32,5,2,12,24,110,5,1,0.1,6,3
51,21,20,90,143,714,31,7,1,22,30,4,3,14,27,91,7,2,0.11,6,3
61,24,21,82,115,650,25,9,1,19,26,5,3,15,30,92,6,2,0.11,6,4
71,26,22,72,82,618,19,10,1,19,22,7,3,21,39,112,7,3,0.11,6,6
81,28,25,60,61,488,14,14,1,16,16,8,9,30,43,127,9,5,0.14,6,8
