age_group,gs_mean,apfs_mean,ads_mean,kfs_mean,kes_mean,has_mean,hers_mean,hirs_mean,efs_mean,ees_mean,sers_mean,sirs_mean,gs_sd,apfs_sd,ads_sd,kfs_sd,kes_sd,has_sd,hers_sd,hirs_sd,efs_sd,ees_sd,sers_sd,sirs_sd
3,13,96,45,10,13,25,25,24,38,41,19,30,1,26,21,4,4,5,8,7,16,15,4,10
4,36,112,58,15,21,33,32,37,53,51,24,38,11,24,16,5,5,8,9,9,12,9,5,11
5,39,124,73,20,25,49,39,48,51,60,30,42,13,29,22,4,7,21,8,10,12,16,6,8
6,59,150,84,29,33,54,47,68,71,66,40,58,17,31,20,7,9,21,16,24,19,20,15,21
7,75,179,99,39,50,59,60,78,83,75,53,76,25,38,24,9,15,11,15,18,23,27,30,41
8,74,197,125,38,51,67,72,96,103,86,52,74,25,55,42,14,19,22,24,31,23,20,15,22
9,93,203,125,39,50,78,73,91,102,89,53,75,18,37,29,10,10,15,15,23,15,18,7,15
10,101,235,150,54,68,97,85,115,114,93,59,85,41,41,42,17,24,24,22,39,27,17,16,30
11,109,234,143,62,80,94,91,120,133,103,57,93,38,71,43,18,24,23,22,28,25,18,9,28
12,136,256,159,54,109,108,91,131,153,110,73,110,30,52,32,16,33,23,21,28,41,23,19,19
13,125,276,172,56,95,106,102,121,146,119,68,93,25,59,45,9,14,37,25,38,27,15,18,23
14,202,327,233,101,175,152,161,217,243,176,103,157,32,82,52,20,65,43,52,66,44,40,19,44
15,222,356,208,97,156,168,170,217,226,161,117,175,72,62,58,17,44,34,35,54,66,32,28,20
16,237,341,205,108,204,163,182,205,256,190,115,178,38,43,52,22,62,36,62,53,37,27,20,48
17,244,366,218,121,203,182,184,214,263,196,138,189,31,49,51,22,43,37,31,38,48,55,35,47
18,254,354,247,119,220,184,170,211,296,223,127,205,60,38,38,24,68,22,29,55,70,47,22,54
19,329,354,237,126,218,179,182,233,310,222,148,229,42,68,37,29,38,37,41,82,56,38,29,69
20,388,291,228,135,247,176,189,228,313,242,139,239,69,61,17,22,31,8,32,25,34,48,8,55
21,347,315,238,115,215,174,171,210,281,214,143,208,81,61,52,30,57,38,43,55,56,47,42,58
31,300,334,214,104,207,161,157,212,260,197,133,198,64,67,47,30,63,48,44,60,69,49,50,59
41,292,369,228,107,197,186,186,240,280,205,139,210,57,55,48,24,44,41,43,61,47,36,25,50
51,268,345,216,96,183,163,162,211,257,192,124,192,56,71,46,25,55,64,48,70,61,48,35,54
61,232,302,189,82,147,133,132,185,229,175,103,173,52,61,37,21,38,33,32,47,42,38,25,40
71,227,275,172,76,135,122,126,166,201,157,95,160,45,62,42,21,32,30,37,60,50,34,25,45
81,193,259,147,66,120,112,114,148,185,145,85,134,40,59,43,15,31,29,30,52,37,28,19,30
